reachable_users_count,reachable_comps_count,p,X,HCI,CSM,TBS,pbcc,A_HCI,A_CSM,A_TBS,A_PBCC,step,delta_X
17,21,0.029411764705882353,0.0475,0.28095733610822066,1.1428571428571428,1.0714285714285714,0.0,0,0,1,0,0,
17,22,0.058823529411764705,0.04875,0.2791551882460973,1.1904761904761905,1.0714285714285714,0.0,0,0,1,0,1,0.0012500000000000011
18,23,0.08823529411764706,0.05125,0.2791551882460973,1.1818181818181819,1.0666666666666667,0.0,0,0,1,0,2,0.0024999999999999953
19,24,0.11764705882352941,0.05375,0.2775510204081634,1.173913043478261,1.0666666666666667,0.0,0,0,1,0,3,0.0025000000000000022
20,24,0.14705882352941177,0.055,0.3016975308641975,1.1666666666666667,1.0666666666666667,0.0,0,0,1,0,4,0.0012500000000000011
20,24,0.17647058823529413,0.055,0.3016975308641975,1.2083333333333333,1.1333333333333333,0.0,0,0,1,0,5,0.0
20,24,0.20588235294117646,0.055,0.29916897506925205,1.25,1.2,0.0,0,0,1,0,6,0.0
20,25,0.23529411764705882,0.05625,0.29916897506925205,1.2916666666666667,1.2666666666666666,0.0,0,0,1,0,7,0.0012500000000000011
21,26,0.2647058823529412,0.05875,0.29916897506925205,1.3333333333333333,1.3333333333333333,0.0,0,0,1,0,8,0.0024999999999999953
21,27,0.29411764705882354,0.06,0.2968749999999999,1.375,1.3333333333333333,0.0,0,1,1,0,9,0.0012500000000000011
22,28,0.3235294117647059,0.0625,0.2968749999999999,1.36,1.3125,0.0,0,1,1,0,10,0.0025000000000000022
22,29,0.35294117647058826,0.06375,0.2947845804988662,1.4,1.3125,0.0,0,1,1,0,11,0.0012500000000000011
22,30,0.38235294117647056,0.065,0.2947845804988662,1.44,1.375,0.0,0,1,1,0,12,0.0012500000000000011
22,31,0.4117647058823529,0.06625,0.29287190082644626,1.48,1.4375,0.0,0,1,1,0,13,0.0012500000000000011
22,32,0.4411764705882353,0.0675,0.2911153119092628,1.52,1.5,0.0,0,1,1,0,14,0.0012500000000000011
22,33,0.47058823529411764,0.06875,0.2894965277777778,1.56,1.5,0.0,0,1,1,0,15,0.0012500000000000011
23,34,0.5,0.07125,0.28800000000000003,1.5384615384615385,1.5,0.0,0,1,1,0,16,0.0024999999999999883
23,35,0.5294117647058824,0.0725,0.2866124260355029,1.5769230769230769,1.5625,0.0,0,1,1,0,17,0.0012500000000000011
24,36,0.5588235294117647,0.075,0.2866124260355029,1.6153846153846154,1.625,0.0,0,1,1,0,18,0.0025000000000000022
24,36,0.5882352941176471,0.075,0.30259878960484154,1.6538461538461537,1.6875,0.0,0,1,1,0,19,0.0
25,37,0.6176470588235294,0.0775,0.3008264462809918,1.6923076923076923,1.75,0.0,0,1,1,0,20,0.0025000000000000022
25,37,0.6470588235294118,0.0775,0.3150510204081633,1.7307692307692308,1.8125,0.0,1,1,1,0,21,0.0
26,38,0.6764705882352942,0.08,0.3130202140309156,1.7037037037037037,1.8125,0.0,1,1,1,0,22,0.0025000000000000022
27,39,0.7058823529411765,0.0825,0.3111111111111111,1.6785714285714286,1.8125,0.0,0,1,1,0,23,0.0025000000000000022
27,40,0.7352941176470589,0.08375,0.3093132154006243,1.7142857142857142,1.875,0.0,0,1,1,0,24,0.0012500000000000011
27,40,0.7647058823529411,0.08375,0.33610481229528844,1.75,1.9375,0.0,1,1,1,0,25,0.0
27,41,0.7941176470588235,0.085,0.33372781065088747,1.7857142857142858,1.9375,0.0,1,1,1,0,26,0.0012500000000000011
27,41,0.8235294117647058,0.085,0.371900826446281,1.8214285714285714,1.9375,0.0,1,1,1,0,27,0.0
27,41,0.8529411764705882,0.085,0.38093116507017155,1.8571428571428572,1.9375,0.0,1,1,1,0,28,0.0
27,42,0.8823529411764706,0.08625,0.38093116507017155,1.8928571428571428,2.0,0.0,1,1,1,0,29,0.0012499999999999872
28,42,0.9117647058823529,0.0875,0.3892733564013841,1.8620689655172413,2.0,0.0,1,1,1,0,30,0.0012500000000000011
29,43,0.9411764705882353,0.09,0.3859183673469388,1.896551724137931,2.0625,0.0,1,1,1,0,31,0.0025000000000000022
29,43,0.9705882352941176,0.09,0.3935727038286055,1.9310344827586208,2.0625,0.0,1,1,1,0,32,0.0
29,44,1.0,0.09125,0.3903171326702946,1.9655172413793103,2.125,0.0,1,1,1,0,33,0.0012500000000000011
29,45,1.0294117647058822,0.0925,0.3872000000000001,2.0,2.125,0.0,1,1,1,0,34,0.0012500000000000011
29,46,1.0588235294117647,0.09375,0.38421318940799465,2.0344827586206895,2.125,0.0,1,1,1,0,35,0.0012500000000000011
29,47,1.088235294117647,0.095,0.3813491427655824,2.0689655172413794,2.125,0.0,1,1,1,0,36,0.0012500000000000011
29,48,1.1176470588235294,0.09625,0.3786008230452675,2.103448275862069,2.1875,0.0,1,1,1,0,37,0.0012500000000000011
